v,vw,o,c,h,l,t,n
6333687.0,161.6791,162.25,161.6,162.37,161.0,1688616000000,80223
7022226.0,159.7414,160.47,159.25,161.04,159.2,1688702400000,91764
5739364.0,159.5837,159.43,159.51,160.3,159.0,1688961600000,75336
6606956.0,158.5804,159.13,158.63,160.3,157.6,1689048000000,99999
6902942.0,158.2584,158.94,158.08,158.94,157.88,1689134400000,98384
6401743.0,158.4131,158.0,158.81,159.13,157.41,1689220800000,85294
5359577.0,159.7333,159.18,159.87,160.225,158.98,1689307200000,86890
5488030.0,159.1843,159.75,159.07,159.87,158.15,1689566400000,87189
6332509.0,159.2661,159.07,159.06,160.89,158.19,1689652800000,93174
7522557.0,159.016,157.91,158.74,160.41,157.33,1689739200000,117323
21892881.0,167.1103,161.94,168.38,169.14,161.3,1689825600000,281366
12079999.0,170.0203,168.18,170.19,170.82,168.18,1689912000000,149424
15305448.0,172.1106,171.5,171.08,173.82,170.99,1690171200000,185843
13690053.0,171.9195,170.45,172.39,172.68,169.75,1690257600000,120587
14288173.0,172.792,172.0,172.72,173.85,171.4,1690344000000,111660
12196386.0,173.5701,172.18,173.69,174.29,172.04,1690430400000,134875
14138739.0,174.4316,174.0,174.48,175.36,173.23,1690516800000,113928
22632720.0,167.9137,169.69,167.53,170.22,166.71,1690776000000,244688
15811545.0,168.204,166.365,168.89,169.09,166.06,1690862400000,168461
14599264.0,170.0601,168.85,169.91,171.24,168.85,1690948800000,121684
17425230.0,170.5137,169.95,170.64,171.32,169.67,1691035200000,127131
23415053.0,170.1106,170.34,169.04,172.68,167.89,1691121600000,221241
17736444.0,172.4597,169.49,173.1,173.34,169.36,1691380800000,146058
27378701.0,172.9117,172.99,173.18,173.55,171.39,1691467200000,227256
42224372.0,173.2003,173.0,173.07,174.25,172.05,1691553600000,289723
47013840.0,173.2075,174.0,172.17,175.97,171.64,1691640000000,304755
45885612.0,173.0794,172.48,173.85,173.95,171.62,1691726400000,278016
63484447.0,172.9025,173.52,173.44,175.6,171.75,1691985600000,372155
88524923.0,173.6525,172.8,172.94,174.56,172.14,1692072000000,385106
82500168.0,173.0718,172.53,172.39,174.73,172.13,1692158400000,386770
70285283.0,173.9348,172.86,174.01,175.39,172.76,1692244800000,356875
48619742.0,172.3737,173.17,172.49,173.99,171.31,1692331200000,338688
145471984.0,167.9974,169.69,167.35,169.85,165.96,1692590400000,555091
55585372.0,166.5639,166.86,166.02,167.84,165.41,1692676800000,262523
115971431.0,164.6368,165.9,164.53,166.5,163.47,1692763200000,229250
69955064.0,165.1334,164.03,165.09,166.67,163.86,1692849600000,200012
18173817.0,166.2905,164.3,166.25,167.78,164.06,1692936000000,136856
18357993.0,164.2447,165.0,164.29,166.21,163.165,1693195200000,173820
12208612.0,163.957,164.87,164.31,165.68,162.77,1693281600000,129956
9939097.0,164.2793,165.11,163.73,165.83,163.68,1693368000000,125688
15332714.0,161.8891,163.37,161.68,163.57,161.279,1693454400000,125858
8610052.0,160.7254,161.42,160.48,162.48,160.015,1693540800000,118067
9019777.0,161.0771,160.56,160.68,161.97,160.28,1693886400000,130928
9753833.0,158.3156,159.84,158.01,160.0,157.35,1693972800000,135464
9931811.0,160.2824,159.14,160.03,161.06,158.98,1694059200000,126447
6958201.0,160.1243,159.59,160.56,160.68,159.19,1694145600000,93935
6309295.0,162.0041,161.06,162.66,162.69,160.45,1694404800000,89879
6040006.0,163.1387,162.22,163.58,163.925,161.53,1694491200000,89932
7397520.0,164.0328,163.76,163.99,164.95,163.0,1694577600000,91899
7758552.0,164.1376,164.68,163.74,165.27,163.44,1694664000000,84873
13392074.0,162.1919,163.98,161.45,164.82,161.21,1694750400000,104016
5789146.0,162.3439,162.12,162.47,163.145,160.75,1695009600000,84538
5291351.0,162.039,162.25,162.2,162.85,161.38,1695096000000,79011
3837595.0,162.9478,162.19,162.91,163.5354,161.66,1695182400000,71432
4526772.0,162.127,162.57,161.66,163.5,161.59,1695268800000,75772
4977354.0,160.758,161.3,160.5,161.4,160.25,1695355200000,75230
6722584.0,159.8909,160.07,160.26,160.36,158.73,1695614400000,93256
4904860.0,159.2368,159.81,159.02,160.08,158.86,1695700800000,76773
10210686.0,156.9811,158.58,157.11,158.76,155.255,1695787200000,120917
7861879.0,156.9073,157.5,156.88,157.96,156.22,1695873600000,107824
7680711.0,155.8194,157.37,155.75,157.6,155.35,1695960000000,106951
7259935.0,154.7128,155.42,155.15,155.42,153.32,1696219200000,95616
5741035.0,154.8549,154.68,155.34,155.495,153.89,1696305600000,85511
4955308.0,155.3112,155.57,155.52,155.93,154.57,1696392000000,74387
5993541.0,157.0558,156.27,157.14,158.0399,156.07,1696478400000,86256
5802226.0,157.6103,157.08,157.64,158.3,156.59,1696564800000,80910
4414322.0,158.16,157.18,158.54,158.88,157.09,1696824000000,74598
5273531.0,158.4909,158.38,158.36,159.27,157.9,1696910400000,77667
6922907.0,156.6843,158.46,156.18,159.05,156.04,1696996800000,102192
5792419.0,156.0612,155.92,156.33,156.5599,155.0663,1697083200000,95479
5360347.0,156.7492,156.73,156.85,157.36,156.05,1697169600000,80034
6408142.0,157.5,157.82,157.53,158.25,156.84,1697428800000,99971
12244374.0,156.237,155.98,156.09,158.9499,154.6085,1697515200000,160725
9097348.0,152.9551,155.41,152.73,155.95,152.05,1697601600000,127702
7733790.0,151.894,151.67,152.32,153.1093,150.15,1697688000000,112789
7206976.0,153.2066,152.74,153.0,153.87,152.33,1697774400000,98233
5873981.0,151.9507,152.86,151.39,153.5,151.21,1698033600000,92578
6155269.0,151.0669,150.75,151.23,151.96,150.13,1698120000000,100570
5880816.0,151.4855,151.24,151.57,152.17,150.23,1698206400000,88171
7612507.0,150.0494,151.97,149.0,151.97,148.88,1698292800000,106348
11385751.0,146.0126,148.49,145.6,148.66,144.95,1698379200000,151098
8205511.0,146.5925,146.09,147.03,147.24,146.0,1698638400000,116271
7577017.0,147.8781,147.54,148.34,148.545,146.6416,1698724800000,88853
5732973.0,148.8623,149.19,148.69,149.76,148.46,1698811200000,78196
5349097.0,149.7754,147.71,150.24,150.4,147.54,1698897600000,82391
4926765.0,151.5381,151.21,151.34,152.27,150.145,1698984000000,81102
4846921.0,151.6972,151.78,151.7,152.425,151.37,1699246800000,85211
4840590.0,151.2078,151.93,150.9,152.25,150.68,1699333200000,77599
5460167.0,150.6808,151.35,150.35,151.83,150.34,1699419600000,88124
6973598.0,148.039,150.5,147.42,150.5,147.26,1699506000000,107947
6931611.0,146.837,148.25,147.25,148.5,145.64,1699592400000,101839
5889367.0,147.3683,147.25,147.63,147.9,146.65,1699851600000,95971
6713647.0,147.7422,147.64,147.66,148.54,146.97,1699938000000,96414
6729120.0,148.6891,147.35,148.8,149.42,147.27,1700024400000,96163
6875566.0,149.4551,149.5,150.1,150.17,148.64,1700110800000,86831
7025544.0,149.7033,150.55,149.79,150.785,149.065,1700197200000,81017
8860472.0,149.7678,147.91,149.91,150.4,147.54,1700456400000,112117
5916344.0,150.716,150.1,151.12,151.29,149.61,1700542800000,86928
4635503.0,150.8752,151.63,150.82,152.04,150.39,1700629200000,79997
3351448.0,152.2242,150.86,152.5,152.6794,150.86,1700802000000,59176
6449740.0,151.4274,152.29,151.28,152.32,150.97,1701061200000,87623
5909044.0,151.4948,151.4,151.63,151.81,150.84,1701147600000,80370
5190026.0,151.8735,151.33,152.11,152.2,151.07,1701234000000,85145
12481867.0,154.4346,152.26,154.66,155.14,151.92,1701320400000,113953
10342901.0,157.1605,156.44,158.38,158.46,155.47,1701406800000,126442
8920279.0,159.0416,158.0,158.88,160.02,158.0,1701666000000,113578
7268151.0,158.6518,158.8,158.55,159.63,158.22,1701752400000,106563
6642891.0,156.8746,158.52,156.62,158.6592,156.17,1701838800000,99815
6532388.0,155.5955,156.58,155.4,156.58,154.71,1701925200000,95105
6254673.0,154.4075,155.42,154.42,155.85,153.84,1702011600000,85158
6090360.0,154.9007,154.5,155.06,155.48,154.35,1702270800000,87703
5324406.0,154.8094,155.0,155.07,155.32,153.65,1702357200000,80405
10764575.0,154.7494,153.66,155.79,155.94,151.77,1702443600000,113754
9240800.0,156.369,156.47,156.87,157.16,155.0474,1702530000000,112665
21727754.0,155.0731,155.49,155.16,156.69,153.76,1702616400000,118733
7231383.0,155.6116,155.21,155.44,156.44,154.76,1702875600000,94359
6651744.0,156.1435,155.3,156.46,156.5,154.94,1702962000000,90885
7008313.0,154.2719,156.54,153.27,156.66,153.11,1703048400000,93069
4598843.0,154.5856,153.69,154.84,155.13,153.3,1703134800000,72525
3798865.0,155.6772,155.25,155.46,156.53,155.02,1703221200000,63715
4170190.0,155.9968,155.0,156.14,156.35,154.85,1703566800000,64037
5288101.0,156.1785,155.5,156.35,156.52,155.42,1703653200000,74814
4377535.0,156.6615,156.0,156.58,157.24,155.99,1703739600000,69214
4313691.0,156.5505,156.51,156.74,156.9,155.98,1703826000000,64877
9622108.0,159.8439,156.93,159.97,161.6393,156.79,1704171600000,126705
8231987.0,160.9321,160.64,160.97,161.44,159.8,1704258000000,103645
6745641.0,160.8801,161.59,160.63,161.98,160.42,1704344400000,85501
5602564.0,160.8677,160.5,161.13,161.34,159.47,1704430800000,81035
6569810.0,160.9554,161.1,161.53,161.66,159.61,1704690000000,94852
6357014.0,161.6751,161.63,161.63,163.28,160.595,1704776400000,86830
4945088.0,161.7817,161.825,161.87,162.62,161.2,1704862800000,76431
4946015.0,161.1773,162.07,161.15,162.199,160.78,1704949200000,79562
4496942.0,162.1708,161.84,162.39,162.47,161.69,1705035600000,70047
6923174.0,160.8689,161.57,160.52,162.25,160.18,1705381200000,87981
5072104.0,160.5487,160.25,160.43,161.3,159.87,1705467600000,78342
5368502.0,160.677,160.0,161.21,161.37,159.69,1705554000000,84079
7071320.0,161.3692,161.15,161.68,161.9226,160.28,1705640400000,90733
6824156.0,162.4669,162.0,162.47,163.58,161.34,1705899600000,100498
9149777.0,159.3391,159.66,159.81,160.5075,156.91,1705986000000,129513
7247926.0,158.9878,159.75,158.96,160.6,158.16,1706072400000,94637
5478898.0,159.208,159.0,159.56,159.62,158.47,1706158800000,85981
5591930.0,159.6896,160.43,159.5,160.74,159.3601,1706245200000,69564
6483190.0,159.4511,159.01,159.36,160.0699,158.96,1706504400000,83958
7200538.0,158.7472,159.35,158.77,159.76,158.13,1706590800000,79373
8257029.0,159.1116,160.4,158.9,160.62,158.67,1706677200000,91941
8012122.0,158.0581,158.16,158.36,158.49,157.05,1706763600000,107509
8295916.0,156.7536,157.97,156.61,158.31,155.94,1706850000000,100997
9121808.0,155.9581,156.61,155.8,156.89,155.34,1707109200000,113314
9230611.0,157.5928,155.83,158.06,158.73,155.6,1707195600000,101524
8690294.0,158.073,157.8,157.98,159.37,157.69,1707282000000,97094
9754960.0,156.0091,157.34,156.4,157.34,155.31,1707368400000,119356
6529202.0,156.5727,156.27,156.76,157.2,155.67,1707454800000,91227
6701508.0,157.653,156.58,157.85,158.41,156.35,1707714000000,83380
8621022.0,156.5171,157.64,156.47,158.45,155.75,1707800400000,108241
9098805.0,155.5189,156.35,155.74,156.46,154.84,1707886800000,107818
7462529.0,157.6893,155.98,157.92,158.475,155.89,1707973200000,98734
8368961.0,156.7336,156.6,156.55,157.255,155.67,1708059600000,106733
9501742.0,157.7961,156.56,157.86,158.61,156.44,1708405200000,118940
7473300.0,158.1948,158.02,158.68,158.69,157.1312,1708491600000,93538
8065010.0,159.9104,158.98,160.45,160.74,157.77,1708578000000,104753
6725963.0,161.6233,160.88,161.84,162.25,160.16,1708664400000,91898
5465417.0,160.9361,161.8,160.79,162.01,160.57,1708923600000,81733
5078650.0,160.6375,160.34,160.98,161.04,159.64,1709010000000,82449
6071076.0,161.1085,161.0,161.55,161.61,160.29,1709096400000,85345
9849270.0,161.5253,162.0,161.38,162.19,160.94,1709182800000,106582
5670135.0,162.1157,161.83,162.12,162.57,161.09,1709269200000,94520
8533083.0,159.4082,161.32,159.84,161.61,158.27,1709528400000,128126
8298182.0,159.8841,160.62,159.97,161.24,159.2,1709614800000,114037
5773683.0,159.7938,159.46,159.34,160.93,159.22,1709701200000,91129
5188726.0,159.0053,160.0,158.87,160.36,158.24,1709787600000,84428
5283951.0,159.5271,158.87,159.52,160.39,158.425,1709874000000,79465
4620826.0,160.5751,159.49,161.23,161.32,158.88,1710129600000,82537
8018736.0,162.3658,161.58,162.74,163.11,161.13,1710216000000,98785
6260000.0,161.4711,162.53,161.1,162.68,159.81,1710302400000,92930
6988264.0,159.5471,160.94,159.21,161.54,158.69,1710388800000,108130
13165500.0,158.0601,158.06,158.18,159.19,157.1,1710475200000,110791
6602121.0,157.0063,158.57,156.76,158.69,156.5,1710734400000,95295
7840624.0,156.2388,156.67,156.21,156.86,155.66,1710820800000,100340
5982304.0,155.6826,155.7,155.76,156.44,155.21,1710907200000,89440
5915777.0,156.035,155.59,155.75,156.95,155.1,1710993600000,83979
7248622.0,155.3848,155.69,155.23,156.36,155.11,1711080000000,79545
7498100.0,155.2961,155.4,155.22,155.9836,154.9,1711339200000,86746
6864099.0,155.6001,155.61,155.77,156.23,154.76,1711425600000,88035
8461600.0,157.2759,155.99,157.96,158.22,155.44,1711512000000,114821
6181503.0,158.3568,158.2,158.19,159.14,158.11,1711598400000,80074
4364699.0,157.6159,157.72,157.78,158.15,156.77,1711944000000,84665
6102497.0,157.2477,156.57,157.73,157.83,155.95,1712030400000,87159
8098242.0,155.0381,157.79,154.26,158.05,154.25,1712116800000,117395
6947423.0,153.4653,155.31,152.5,155.5,152.41,1712203200000,104362
6783020.0,152.3216,152.03,152.39,153.01,151.61,1712289600000,116073
